web-scraper-order,web-scraper-start-url,title-tags,content,datetime,location
"1608393391-30","https://maps.safecity.in/reports","","G M L P School, Koduvally	Free or subsidised food by district administration	8593898831	http://kudumbashree.org/pages/826

Courtesy - Aarefa...  
						  More Information » 
						  « Less Information","",""
"1608393391-32","https://maps.safecity.in/reports","","Organisation:- Dakshina kannada corona control room.
Services:- phone number of Dakshina kannadadistrict control room.
Contact:- 1077
dk.nic.in...  
						  More Information » 
						  « Less Information","",""
"1608393391-71","https://maps.safecity.in/reports","","","","Kondazhy, Kerala, India"
"1608393391-28","https://maps.safecity.in/reports","","My husband and my in laws trouble me a lot for money (dowry)  
						  More Information » 
						  « Less Information","",""
"1608393391-53","https://maps.safecity.in/reports","","","14:11 May 20, 2020",""
"1608393391-21","https://maps.safecity.in/reports","","I'm a 58 year old woman and not used to seeing such happenings, even though I have had my share of being groped, touched inappropriately, felt...  
						  More Information » 
						  « Less Information","",""
"1608393391-1","https://maps.safecity.in/reports","Report on facebook","","",""
"1608393391-63","https://maps.safecity.in/reports","","","","Vettathur, Kerala"
"1608393391-14","https://maps.safecity.in/reports","Covid-19 Testing Lab.","","",""
"1608393391-75","https://maps.safecity.in/reports","","","","Public Garden Rd, Mahaveer Nagar, Halbarga, Brhampur, Gulbarga, Karnataka 585105, India"
"1608393391-31","https://maps.safecity.in/reports","","Paramel padi	
Free or subsidised food by district administration		http://kudumbashree.org/pages/826

Courtesy - Aarefa Johri  
						  More Information » 
						  « Less Information","",""
"1608393391-79","https://maps.safecity.in/reports","","","","Kasai St, Maruthi Colony, Bapu Ji Nagar, Ballari, Karnataka 583101, India"
"1608393391-35","https://maps.safecity.in/reports","","Organisation:- Gulbarga institute of medical science.
Services:- Government approved and supported testing labs by ICMR.
Contact :- 8472227252...  
						  More Information » 
						  « Less Information","",""
"1608393391-10","https://maps.safecity.in/reports","Community Kitchen","","",""
"1608393391-72","https://maps.safecity.in/reports","","","","Bejai - Kavoor Rd, Mannagudda, Ranipura Ulliya, Gandhi Nagar, Kavoor, Mangalore, Karnataka 575013, India"
"1608393391-29","https://maps.safecity.in/reports","","My married pregnant cousin died in suspicious circumstances. we doubt it is not suicide but torture and attempt to murder by in laws.  
						  More Information » 
						  « Less Information","",""
"1608393391-22","https://maps.safecity.in/reports","","Ishtam Catering, Free or subsidised food by district administration, 7902560830, http://kudumbashree.org/pages/826  
						  More Information » 
						  « Less Information","",""
"1608393391-17","https://maps.safecity.in/reports","Stalking","","",""
"1608393391-25","https://maps.safecity.in/reports","","Jbs School, Venmony, Chengannur, Free or subsidised food by district administration, 9947876874, http://kudumbashree.org/pages/826  
						  More Information » 
						  « Less Information","",""
"1608393391-74","https://maps.safecity.in/reports","","","","Rangoli Halla, Hassan, Karnataka 573201, India"
"1608393391-33","https://maps.safecity.in/reports","","Organisation:- District corona helpline.
Services:- helpline.
Contact:- 8362447547
www.dharwad.nic.in
Courtesy:- Aarefa Johri.  
						  More Information » 
						  « Less Information","",""
"1608393391-56","https://maps.safecity.in/reports","","","14:02 May 20, 2020",""
"1608393391-18","https://maps.safecity.in/reports","Government Helpline Covid-19","","",""
"1608393391-47","https://maps.safecity.in/reports","","","15:00 Jun 16, 2020",""
"1608393391-78","https://maps.safecity.in/reports","","","","Bidar, Nandi Colony, Bidar, Karnataka 585401, India"
"1608393391-24","https://maps.safecity.in/reports","","Kaithangu Catering and canteen, Free or subsidised food by district administration, 8129053568, http://kudumbashree.org/pages/826  
						  More Information » 
						  « Less Information","",""
"1608393391-5","https://maps.safecity.in/reports","Community Kitchen","","",""
"1608393391-13","https://maps.safecity.in/reports","Government Helpline Covid-19","","",""
"1608393391-67","https://maps.safecity.in/reports","","","","Dwarka, Dwarka, Gujarat 361335, India"
"1608393391-66","https://maps.safecity.in/reports","","","","delhi green park 16 delhi green park 16, Pocket G-27, Sector 3G, Rohini, Delhi, 110085, India"
"1608393391-34","https://maps.safecity.in/reports","","Organisation:- Hassan Inst of medical sciences.
Services:- Government approved and supported testing labs by ICMR.
Contact:- 8172231699
www.hims-hassan.org/index.html...  
						  More Information » 
						  « Less Information","",""
"1608393391-73","https://maps.safecity.in/reports","","","","Arts College Bus Stop, PB Rd, Vidya Nagar, Hubli, Karnataka 580031, India"
"1608393391-59","https://maps.safecity.in/reports","","","13:31 May 19, 2020",""
"1608393391-80","https://maps.safecity.in/reports","","","","Hirekodi, Velguem, Camp, Belgaum, Karnataka, India"
"1608393391-3","https://maps.safecity.in/reports","Community Kitchen","","",""
"1608393391-54","https://maps.safecity.in/reports","","","14:08 May 20, 2020",""
"1608393391-70","https://maps.safecity.in/reports","","","","Koduvally-Omassery Rd, Koduvally, Kerala 673572, India"
"1608393391-41","https://maps.safecity.in/reports","","","18:28 Oct 22, 2020",""
"1608393391-57","https://maps.safecity.in/reports","","","14:00 May 20, 2020",""
"1608393391-20","https://maps.safecity.in/reports","Government Helpline Covid-19","","",""
"1608393391-9","https://maps.safecity.in/reports","Domestic Violence","","",""
"1608393391-27","https://maps.safecity.in/reports","","a boy with whom I was in relationship with called me at a place and beat me very badly. He had been harassing me for long time. That he slapped...  
						  More Information » 
						  « Less Information","",""
"1608393391-45","https://maps.safecity.in/reports","","","15:45 Sep 04, 2020",""
"1608393391-16","https://maps.safecity.in/reports","Government Helpline Covid-19","","",""
"1608393391-38","https://maps.safecity.in/reports","","Organisation:- District corona helpline.
Services:- helpline
Contact:- 18004254316
bidar.nic.in
Courtesy:- Aarefa Johri  
						  More Information » 
						  « Less Information","",""
"1608393391-55","https://maps.safecity.in/reports","","","14:05 May 20, 2020",""
"1608393391-52","https://maps.safecity.in/reports","","","14:16 May 20, 2020",""
"1608393391-19","https://maps.safecity.in/reports","Government Helpline Covid-19","","",""
"1608393391-40","https://maps.safecity.in/reports","","Organisation:- Belgaum corona District helpline.
Services:- Helpline.
Contact:- 8312407290
www.belagavi.nic.in
Courtesy:- Aarefa Johri  
						  More Information » 
						  « Less Information","",""
"1608393391-68","https://maps.safecity.in/reports","","","","Unnamed Road, Civil Line, Tikamgarh, Madhya Pradesh 472001, India"
"1608393391-60","https://maps.safecity.in/reports","","","13:28 May 19, 2020",""
"1608393391-49","https://maps.safecity.in/reports","","","12:19 Jun 10, 2020",""
"1608393391-43","https://maps.safecity.in/reports","","","15:45 Sep 04, 2020",""
"1608393391-46","https://maps.safecity.in/reports","","","11:45 Jun 21, 2020",""
"1608393391-7","https://maps.safecity.in/reports","Sexual harassment","","",""
"1608393391-12","https://maps.safecity.in/reports","Government Helpline Covid-19","","",""
"1608393391-2","https://maps.safecity.in/reports","Community Kitchen","","",""
"1608393391-37","https://maps.safecity.in/reports","","I was stalked in this street and cat-called.  
						  More Information » 
						  « Less Information","",""
"1608393391-62","https://maps.safecity.in/reports","","","","Vettom, Kerala"
"1608393391-65","https://maps.safecity.in/reports","","","","Venmony, Kerala"
"1608393391-23","https://maps.safecity.in/reports","","CDS, Free or subsidised food by district administration, 9846413944, http://kudumbashree.org/pages/826  
						  More Information » 
						  « Less Information","",""
"1608393391-58","https://maps.safecity.in/reports","","","13:33 May 19, 2020",""
"1608393391-15","https://maps.safecity.in/reports","Covid-19 Testing Lab.","","",""
"1608393391-48","https://maps.safecity.in/reports","","","20:00 Jun 10, 2020",""
"1608393391-64","https://maps.safecity.in/reports","","","","Vettikkavala, Kerala"
"1608393391-39","https://maps.safecity.in/reports","","Organisation:- District corona helpline for bellary.
Services:- Helpline.
Contact:- 8392277100
www.ballari.nic.in
Courtesy:- Aarefa Johri  
						  More Information » 
						  « Less Information","",""
"1608393391-50","https://maps.safecity.in/reports","","","23:09 May 24, 2020",""
"1608393391-44","https://maps.safecity.in/reports","","","15:45 Sep 04, 2020",""
"1608393391-76","https://maps.safecity.in/reports","","","","Public Garden Rd, Mahaveer Nagar, Halbarga, Brhampur, Gulbarga, Karnataka 585105, India"
"1608393391-69","https://maps.safecity.in/reports","","","","ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002, India"
"1608393391-6","https://maps.safecity.in/reports","cyber bully","","",""
"1608393391-77","https://maps.safecity.in/reports","","","","45, Nagarabhavi Main Rd, Huchappa Layout, Govindaraja Nagar Ward, Shivananda Nagar, Vijayanagar, Bengaluru, Karnataka 560072, India"
"1608393391-61","https://maps.safecity.in/reports","","","","Dhaula Kuan, Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110010, India"
"1608393391-26","https://maps.safecity.in/reports","","There is a facebook group of people who bully and harass people of group. They invite people by befriending them and they shame them and bully...  
						  More Information » 
						  « Less Information","",""
"1608393391-42","https://maps.safecity.in/reports","","","15:45 Sep 04, 2020",""
"1608393391-36","https://maps.safecity.in/reports","","Organisation:- District Corona Helpline.
Services:- Helpline.
Contact:- 8472278698
www.kalaburagi.nic.in
Courtesy:- Aarefa Johri.  
						  More Information » 
						  « Less Information","",""
"1608393391-11","https://maps.safecity.in/reports","Community Kitchen","","",""
"1608393391-4","https://maps.safecity.in/reports","Community Kitchen","","",""
"1608393391-8","https://maps.safecity.in/reports","Domestic Violence","","",""
"1608393391-51","https://maps.safecity.in/reports","","","10:37 May 22, 2020",""
