,Unnamed: 0,incident_id,title,short_desc,date,location,tags,lat,lng
0,0,incident_13635, Report on facebook ," I'm a 58 year old woman and not used to seeing such happenings, even though I have had my share of being groped, touched inappropriately, felt...  
						  More Information »
« Less Information
",2020-10-22 18:28:00,"Dhaula Kuan, Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110010, India",Indecent exposure,28.5956381,77.1628404
5,5,incident_13625, cyber bully ," There is a facebook group of people who bully and harass people of group. They invite people by befriending them and they shame them and bully...  
						  More Information »
« Less Information
",2020-06-21 11:45:00,"delhi green park 16 delhi green park 16, Pocket G-27, Sector 3G, Rohini, Delhi, 110085, India",Online Harassment,28.7041097,77.1024889
6,6,incident_13618, Sexual harassment ," a boy with whom I was in relationship with called me at a place and beat me very badly. He had been harassing me for long time. That he slapped...  
						  More Information »
« Less Information
",2020-06-16 15:00:00,"Dwarka, Dwarka, Gujarat 361335, India",Touching /Groping,22.2441975,68.96845619999999
7,7,incident_13620, Domestic Violence ," My husband and my in laws trouble me a lot for money (dowry)  
						  More Information »
« Less Information
",2020-06-10 20:00:00,"Unnamed Road, Civil Line, Tikamgarh, Madhya Pradesh 472001, India",Domestic Violence,24.7536586,78.83025909999999
8,8,incident_13619, Domestic Violence ," My married pregnant cousin died in suspicious circumstances. we doubt it is not suicide but torture and attempt to murder by in laws.  
						  More Information »
« Less Information
",2020-06-10 12:19:00,"ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002, India",Domestic Violence,28.4083059,77.3173656
16,16,incident_13466, Stalking ," I was stalked in this street and cat-called.  
						  More Information »
« Less Information
",2020-05-20 14:00:00,"45, Nagarabhavi Main Rd, Huchappa Layout, Govindaraja Nagar Ward, Shivananda Nagar, Vijayanagar, Bengaluru, Karnataka 560072, India",Stalking,12.9720331,77.52837029999999
47,47,incident_13621, Domestic Violence ," My father and brother repeatedly stopped me from studying. I wanted to study further. I faced continuous harassment from them to leave study...  
						  More Information »
« Less Information
",2020-05-12 20:00:00,"Bihar - Mokama Rd, Laranpur, Bihar 801303, India",Domestic Violence,25.0958605,85.314759
56,56,incident_13616, Domestic Violence ," My husband says bad words to me. doubts on my character. He keeps abusing me. 
He is physically handicapped and nor earning. 
There is no physical...  
						  More Information »
« Less Information
",2020-05-11 15:00:00,"177, Okhla Head Rd, Okhla Village, Okhla, New Delhi, Delhi 110025, India",Domestic Violence,28.5636896,77.29144889999999
99,99,incident_13557, Community Kitchen ," Annapoorna Janakeeya Hotel, St.Mathews Road,Vennala	Free or subsidised food by district administration	9567529849	http://kudumbashree.org/pages/826...  
						  More Information »
« Less Information
",2020-05-08 15:06:00,"Aroor - Thoppumpady Rd, Valummel, Kochi, Kerala 682005, India",North East India Report,9.930146599999999,76.2686397
366,366,incident_13617, Domestic Violence ," My husband and mother in law beat me. they dont even give me and kids some proper drinking water. They broke my maternal things too.  
						  More Information »
« Less Information
",2020-04-27 22:00:00,"225, near Sundar Public School, Pocket C, Sarita Vihar, New Delhi, Delhi 110076, India",Domestic Violence,28.5348825,77.29734049999999
670,670,incident_13615, Domestic Violence ," I am living with my parents in lockdown. They are harassing me. beating me, not allowing me to study.. They want me to get married by their...  
						  More Information »
« Less Information
",2020-04-08 10:38:00,"delhi green park 16 delhi green park 16, Pocket G-27, Sector 3G, Rohini, Delhi, 110085, India",Domestic Violence,28.7041097,77.1024889
1073,1073,incident_12319, Groped near elphinstone road station ," groped in the middle of the road  
						  More Information »
« Less Information
",2020-03-13 15:01:00,"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India",Touching /Groping,19.0075257,72.8359929
1074,1074,incident_12315, Stalking ," I go to the race course for early morning runs. On multiple occasions I have noticed a man following us while we run. Once he followed us on...  
						  More Information »
« Less Information
",2020-03-04 07:00:00,"Camp, Pune, Maharashtra, India",Stalking,18.5122306,73.88601
1076,1076,incident_13629, Man at the bar ," A man sat down with me and my friend at the table and started commenting about my looks and when asked to be left alone he started touching...  
						  More Information »
« Less Information
",2020-02-28 21:00:00,"Bunsenstraße 15, 34127 Kassel, Deutschland",Commenting,51.3289717,9.5018303
1077,1077,incident_12270, IOI City Mall: restaurant ," The harasser (a guy) groped my boobs and butt for almost a week while we were working as servers. I resigned a week later.  
						  More Information »
« Less Information
",2020-01-15 16:00:00,"Ioi Resort, Putrajaya, Selangor, Malaysia",Touching /Groping,2.968031,101.70751
1078,1078,incident_12311, Eve teasing ," Bus eve teasing  
						  More Information »
« Less Information
",2020-01-10 10:00:00,"26, Electronic City Flyover, BTM Phase 1, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",Touching /Groping,12.8455571,77.6677642
1079,1079,incident_12256, stalking ," stalking near bandra station  
						  More Information »
« Less Information
",2019-12-24 15:00:00,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",Stalking,19.059143,72.845013
1080,1080,incident_12255, stalking ," stalking near bandra station  
						  More Information »
« Less Information
",2019-12-24 15:00:00,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",Stalking,19.059143,72.845013
1081,1081,incident_12254, Stalking near raheja college ," Two guys stalked me on my way to college  
						  More Information »
« Less Information
",2019-12-22 23:00:00,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",Stalking,19.059143,72.845013
1082,1082,incident_12298, KTM - publicly touched ," An Indian man stand closely to me; from back and tried to grope my butt but luckily i was carrying a backpack  
						  More Information »
« Less Information
",2019-11-25 18:00:00,"Kuala Lumpur Station, Kampung Attap, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Touching /Groping,3.1396129,101.693375
1083,1083,incident_12282, LRT or Mall in sunway/ KL ," I was walking in the mall or on the streets, and a lot men tend to stare unnecessarily. It's not that I even wear provocative clothes, but because...  
						  More Information »
« Less Information
",2019-11-25 16:00:00,"3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia",Ogling/Facial Expressions/Staring,3.0727104,101.6078861
1084,1084,incident_12265, Catcalling ," Catcalling me even I ignored them  
						  More Information »
« Less Information
",2019-11-11 11:00:00,"Persiaran Kolej, Bandar Seri Putra, 43000 Kajang, Selangor, Malaysia",Catcalls/Whistles,2.8895234,101.7912857
1085,1085,incident_12261, Basement carpark ," I was locked in the car with the guy in a basement carpark. He forced kiss my neck and touched my body  
						  More Information »
« Less Information
",2019-11-08 15:00:00,"Ss 16, Subang Jaya, Selangor, Malaysia",Touching /Groping,3.081753,101.5840681
1086,1086,incident_12268, LRT Universiti: Harrassed ," Some guy touching a woman without consent. Suddenly the woman scream and starts crying.  
						  More Information »
« Less Information
",2019-11-07 11:00:00,"Federal Hwy, 59100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Touching /Groping,3.1147383,101.6684812
1087,1087,incident_12286, Nadayu residence ," They catcalled me.  
						  More Information »
« Less Information
",2019-10-25 21:00:00,"1, Jalan PJS 11/7, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",Catcalls/Whistles,3.0698011,101.6038513
1088,1088,incident_12266," Harrassed, without consent "," He touch my shoulder while driving and touch my lips without any purpose.  
						  More Information »
« Less Information
",2019-10-18 13:00:00,"Dato' Keramat, Kampung Datuk Keramat, 54000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Touching /Groping,3.165294,101.731971
1089,1089,incident_12303, Sexual invites ," There was this guy who catcalled my friend and invited us to go clubbing with him at the Bukit Bintang MRT station, we ignored him but he proceed...  
						  More Information »
« Less Information
",2019-10-14 19:00:00,"103, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Sexual Invites,3.1462725,101.7109333
1090,1090,incident_12240, Creep in a Truck ," I was walking. Dark Charcoal grey truck, license plate AL32**9(?)* with tinted windows slowed down and then turned and went down a short dead...  
						  More Information »
« Less Information
",2019-10-12 11:00:00,"Alexandria Bounty Community Garden, 364 Simcoe St N, Oshawa, ON L1G 4T6, Canada",Others,43.90701,-78.8680388
1091,1091,incident_12277, From bus ride to mall ," A group of 3 guys followed me from my ride in a bus to paradigm mall. One of the guys took a picture of me without my consent and followed me...  
						  More Information »
« Less Information
",2019-10-11 16:00:00,"Paradigm Mall, 1, Jalan SS 7/28, Ss 3, 47301 Petaling Jaya, Selangor, Malaysia",Stalking,3.1051171,101.5959701
1092,1092,incident_12260, Public indecent exposure ," He pulled out his penis and begged for an oral sex. He then desperately offer me money for it.  
						  More Information »
« Less Information
",2019-10-05 17:00:00,"33, Jalan Teknologi, Pju 5 Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",Indecent exposure,3.1473993,101.5749744
1093,1093,incident_13160, Groped in the middle of the road ," Groped in the middle of the road  
						  More Information »
« Less Information
",2019-10-01 20:00:00,"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India",Touching /Groping,19.0075257,72.8359929
1094,1094,incident_12237, Snatching of mobile ," I was talking by mobile near popular juice in the evening.two man came on scooty and snatched my one plus 7 navy blue mobile.
Police is doing...  
						  More Information »
« Less Information
",2019-09-16 18:00:00,"78, Bada Bazar Rd, Block 54, Rajinder Nagar, New Delhi, Delhi 110060, India",Others,28.640485,77.184609
1095,1095,incident_12236, Snatching of mobile ," I was talking by mobile near popular juice in the evening.two man came on scooty and snatched my one plus 7 navy blue mobile.
Police is doing...  
						  More Information »
« Less Information
",2019-09-16 18:00:00,"78, Bada Bazar Rd, Block 54, Rajinder Nagar, New Delhi, Delhi 110060, India",Others,28.640485,77.184609
